,date,underlying_price,implied_volatility,risk_free_rate
83,2024-08-28,558.3,0.1711,4.96
84,2024-08-29,558.35,0.1565,4.98
85,2024-08-30,563.68,0.15,4.98
86,2024-09-03,552.08,0.20720000000000002,4.97
87,2024-09-04,550.95,0.21320000000000003,4.96
88,2024-09-05,549.61,0.19899999999999998,4.94
89,2024-09-06,540.36,0.2238,4.93
90,2024-09-09,546.41,0.1945,4.89
91,2024-09-10,548.79,0.19079999999999997,4.85
92,2024-09-11,554.42,0.17689999999999997,4.89
93,2024-09-12,559.09,0.17070000000000002,4.85
94,2024-09-13,562.01,0.1656,4.78
95,2024-09-16,562.84,0.17140000000000002,4.75
96,2024-09-17,563.07,0.17609999999999998,4.75
97,2024-09-18,561.4,0.18230000000000005,4.65
98,2024-09-19,570.98,0.16329999999999997,4.61
99,2024-09-20,568.25,0.16149999999999995,4.56
100,2024-09-23,569.67,0.1589,4.53
101,2024-09-24,571.3,0.1539,4.5
102,2024-09-25,570.04,0.1541,4.51
103,2024-09-26,572.3,0.1537,4.5
104,2024-09-27,571.47,0.1696,4.5
105,2024-09-30,573.76,0.1673,4.52
106,2024-10-01,568.62,0.19260000000000002,4.5
107,2024-10-02,568.86,0.18899999999999997,4.48
108,2024-10-03,567.82,0.20489999999999994,4.48
109,2024-10-04,572.98,0.19210000000000002,4.53
110,2024-10-07,567.8,0.22640000000000005,4.55
111,2024-10-08,573.17,0.21420000000000003,4.53
112,2024-10-09,577.14,0.2086,4.54
113,2024-10-10,576.13,0.20929999999999999,4.54
114,2024-10-11,579.58,0.2046,4.53
115,2024-10-14,584.32,0.197,4.52
116,2024-10-15,579.78,0.2064,4.52
117,2024-10-16,582.3,0.19579999999999995,4.51
118,2024-10-17,582.35,0.1911,4.54
119,2024-10-18,584.59,0.18030000000000002,4.53
120,2024-10-21,583.63,0.18370000000000003,4.51
121,2024-10-22,583.32,0.182,4.51
122,2024-10-23,577.99,0.1924,4.52
123,2024-10-24,579.24,0.19079999999999997,4.5
124,2024-10-25,579.04,0.20329999999999998,4.52
125,2024-10-28,580.83,0.198,4.49
126,2024-10-29,581.77,0.19340000000000002,4.49
127,2024-10-30,580.01,0.20350000000000004,4.47
128,2024-10-31,568.64,0.23159999999999997,4.44
129,2024-11-01,571.04,0.21879999999999997,4.41
130,2024-11-04,569.81,0.2198,4.44
131,2024-11-05,576.7,0.20489999999999994,4.43
132,2024-11-06,591.04,0.16269999999999998,4.44
133,2024-11-07,595.61,0.152,4.43
134,2024-11-08,598.19,0.1494,4.43
135,2024-11-11,598.76,0.1497,4.43
136,2024-11-12,596.9,0.1471,4.43
137,2024-11-13,597.19,0.1402,4.4
138,2024-11-14,593.35,0.1431,4.41
139,2024-11-15,585.75,0.16140000000000002,4.41
140,2024-11-18,588.15,0.1558,4.42
141,2024-11-19,590.3,0.1635,4.41
142,2024-11-20,590.5,0.17160000000000003,4.42
143,2024-11-21,593.67,0.16870000000000002,4.43
144,2024-11-22,595.51,0.1524,4.43
145,2024-11-25,597.53,0.146,4.42
146,2024-11-26,600.65,0.14099999999999996,4.4
147,2024-11-27,598.83,0.14099999999999996,4.4
148,2024-11-29,602.55,0.1351,4.39
149,2024-12-02,603.63,0.1334,4.38
150,2024-12-03,603.91,0.133,4.36
151,2024-12-04,607.66,0.13449999999999998,4.35
152,2024-12-05,606.66,0.1354,4.34
153,2024-12-06,607.81,0.1277,4.31
154,2024-12-09,604.68,0.1419,4.3
155,2024-12-10,602.8,0.1418,4.29
156,2024-12-11,607.46,0.1358,4.26
157,2024-12-12,604.33,0.13920000000000002,4.23
158,2024-12-13,604.21,0.1381,4.23
159,2024-12-16,606.79,0.1469,4.25
160,2024-12-17,604.29,0.15869999999999998,4.26
161,2024-12-18,586.28,0.2762,4.25
162,2024-12-19,586.1,0.2409,4.23
163,2024-12-20,591.15,0.1836,4.23
164,2024-12-23,594.69,0.16779999999999998,4.24
165,2024-12-24,601.3,0.1427,4.28
166,2024-12-26,601.34,0.14730000000000001,4.24
167,2024-12-27,595.01,0.1595,4.19
168,2024-12-30,588.22,0.174,4.23
169,2024-12-31,586.08,0.17350000000000002,4.23
170,2025-01-02,584.64,0.1793,4.22
171,2025-01-03,591.95,0.1613,4.2
172,2025-01-06,595.36,0.1604,4.21
173,2025-01-07,588.63,0.1782,4.21
174,2025-01-08,589.49,0.177,4.21
175,2025-01-10,580.49,0.1954,4.22
176,2025-01-13,581.39,0.19190000000000002,4.23
177,2025-01-14,582.19,0.18710000000000002,4.22
178,2025-01-15,592.78,0.1612,4.21
179,2025-01-16,591.64,0.166,4.21
180,2025-01-17,597.58,0.1597,4.2
181,2025-01-21,603.05,0.1506,4.22
182,2025-01-22,606.44,0.15100000000000002,4.22
183,2025-01-23,609.75,0.1502,4.22
184,2025-01-24,607.97,0.1485,4.21
185,2025-01-27,599.37,0.179,4.2
186,2025-01-28,604.52,0.1641,4.2
187,2025-01-29,601.81,0.1656,4.2
188,2025-01-30,605.04,0.15839999999999999,4.19
189,2025-01-31,601.82,0.1643,4.2
190,2025-02-03,597.77,0.18619999999999998,4.22
191,2025-02-04,601.78,0.1721,4.22
192,2025-02-05,604.22,0.1577,4.22
193,2025-02-06,606.32,0.155,4.22
194,2025-02-07,600.77,0.16539999999999996,4.24
195,2025-02-10,604.85,0.15810000000000002,4.23
196,2025-02-11,605.31,0.16020000000000004,4.23
197,2025-02-12,603.36,0.1589,4.23
198,2025-02-13,609.73,0.15100000000000002,4.22
199,2025-02-14,609.7,0.1477,4.22
200,2025-02-18,611.49,0.1535,4.23
201,2025-02-19,612.93,0.15269999999999997,4.22
202,2025-02-20,610.38,0.1566,4.21
203,2025-02-21,599.94,0.1821,4.21
204,2025-02-24,597.21,0.18979999999999997,4.19
205,2025-02-25,594.24,0.19430000000000003,4.19
206,2025-02-26,594.54,0.191,4.2
207,2025-02-27,585.05,0.2113,4.2
208,2025-02-28,594.18,0.1963,4.2
209,2025-03-03,583.77,0.22780000000000003,4.21
210,2025-03-04,576.86,0.23510000000000003,4.2
211,2025-03-05,583.06,0.21930000000000002,4.21
212,2025-03-06,572.71,0.2487,4.2
213,2025-03-07,575.92,0.23370000000000002,4.2
214,2025-03-10,560.58,0.27860000000000007,4.19
215,2025-03-11,555.92,0.2692,4.2
216,2025-03-12,558.87,0.24230000000000004,4.21
217,2025-03-13,551.42,0.24660000000000004,4.2
218,2025-03-14,562.81,0.2177,4.2
219,2025-03-17,567.15,0.20509999999999998,4.2
220,2025-03-18,561.02,0.217,4.2
221,2025-03-19,567.13,0.19899999999999998,4.2
222,2025-03-20,565.49,0.198,4.19
223,2025-03-21,563.98,0.19280000000000003,4.19
224,2025-03-24,574.08,0.1748,4.19
225,2025-03-25,575.46,0.1715,4.19
226,2025-03-26,568.59,0.1833,4.2
227,2025-03-27,567.08,0.18689999999999998,4.2
228,2025-03-28,555.66,0.21649999999999997,4.2
229,2025-03-31,559.39,0.2228,4.21
230,2025-04-01,560.97,0.2177,4.2
231,2025-04-02,564.52,0.2151,4.21
232,2025-04-03,536.7,0.3002,4.2
233,2025-04-04,505.28,0.45310000000000006,4.17
234,2025-04-07,504.38,0.4698,4.17
235,2025-04-08,496.48,0.5233,4.19
236,2025-04-09,548.62,0.3362,4.24
237,2025-04-10,524.58,0.4072,4.22
238,2025-04-11,533.94,0.37560000000000004,4.23
239,2025-04-14,539.12,0.30890000000000006,4.22
240,2025-04-15,537.61,0.3012,4.22
241,2025-04-16,525.66,0.3264000000000001,4.21
242,2025-04-17,526.41,0.2965,4.23
243,2025-04-21,513.88,0.3382,4.22
244,2025-04-22,527.25,0.3057,4.22
245,2025-04-23,535.42,0.28450000000000003,4.22
246,2025-04-24,546.69,0.2647,4.21
247,2025-04-25,550.64,0.24839999999999998,4.21
248,2025-04-28,550.85,0.2515,4.2
249,2025-04-29,554.32,0.24170000000000005,4.2
250,2025-04-30,554.54,0.247,4.2
251,2025-05-01,558.47,0.24600000000000005,4.2
252,2025-05-02,566.76,0.2268,4.22
