,open,high,low,close_SPY,volume,OPEN,HIGH,LOW,CLOSE_vix,DTB3
2024-10-16,579.78,582.83,578.96,582.3,30725436,20.77,21.01,19.45,19.58,4.51
2024-10-17,585.91,586.12,582.16,582.35,34393714,19.55,19.65,18.88,19.11,4.54
2024-10-18,584.07,585.39,582.58,584.59,37416801,19.3,19.32,17.99,18.03,4.53
2024-10-21,583.85,584.85,580.6001,583.63,36439010,18.78,19.34,18.36,18.37,4.51
2024-10-22,581.05,584.5,580.38,583.32,34183835,18.79,19.44,18.05,18.2,4.51
2024-10-23,581.26,581.7086,574.415,577.99,49314574,18.21,20.47,18.18,19.24,4.52
2024-10-24,579.98,580.06,576.57,579.24,34979860,18.87,20.24,18.63,19.08,4.5
2024-10-25,581.51,584.46,578.08,579.04,47268176,19.22,20.51,18.23,20.33,4.52
2024-10-28,582.58,582.71,580.52,580.83,30174704,19.11,19.88,18.91,19.8,4.49
2024-10-29,579.85,582.907,578.43,581.77,42899661,19.75,20.53,19.06,19.34,4.49
2024-10-30,581.29,583.32,579.29,580.01,41435839,19.33,20.44,19.3,20.35,4.47
2024-10-31,575.56,575.63,568.44,568.64,60182451,21.44,23.42,21.12,23.16,4.44
2024-11-01,571.32,575.55,570.62,571.04,45667533,22.96,23.09,21.16,21.88,4.41
2024-11-04,571.18,572.5,567.89,569.81,38216975,22.5,23.07,21.73,21.98,4.44
2024-11-05,570.74,576.74,570.52,576.7,39478322,21.98,22.06,20.2,20.49,4.43
2024-11-06,589.2,591.93,585.39,591.04,68181968,16.06,16.82,15.44,16.27,4.44
2024-11-07,593.08,596.65,592.9999,595.61,47233212,15.86,15.86,15.13,15.2,4.43
2024-11-08,596.17,599.64,596.165,598.19,46444893,15.13,15.33,14.66,14.94,4.43
2024-11-11,599.81,600.17,597.0,598.76,37586773,15.33,15.56,14.89,14.97,4.43
2024-11-12,598.68,599.29,594.37,596.9,43006128,15.09,15.37,14.69,14.71,4.43
2024-11-13,597.37,599.23,594.96,597.19,47388640,15.09,15.26,13.77,14.02,4.4
2024-11-14,597.32,597.81,592.65,593.35,38904109,14.17,14.32,13.59,14.31,4.41
2024-11-15,589.72,590.2,583.86,585.75,75988766,15.02,17.55,14.56,16.14,4.41
2024-11-18,586.22,589.49,585.34,588.15,37084081,16.6,17.0,15.35,15.58,4.42
2024-11-19,584.71,591.045,584.03,590.3,49412046,15.44,17.93,15.37,16.35,4.41
2024-11-20,590.38,590.79,584.63,590.5,50032576,16.19,18.79,16.04,17.16,4.42
2024-11-21,593.4,595.12,587.45,593.67,46750285,17.1,17.99,15.73,16.87,4.43
2024-11-22,593.66,596.15,593.1525,595.51,38226390,16.67,17.56,15.24,15.24,4.43
2024-11-25,599.52,600.86,595.2,597.53,42441393,15.23,15.72,14.54,14.6,4.42
2024-11-26,598.8,601.33,598.07,600.65,45621288,14.95,15.03,13.88,14.1,4.4
2024-11-27,600.46,600.85,597.28,598.83,34000163,14.28,15.13,13.96,14.1,4.4
2024-11-29,599.66,603.35,599.38,602.55,30095740,14.0,14.15,13.49,13.51,4.39
2024-12-02,602.97,604.32,602.47,603.63,31745989,14.08,14.1,13.3,13.34,4.38
2024-12-03,603.39,604.16,602.341,603.91,26906629,13.38,13.77,13.19,13.3,4.36
2024-12-04,605.63,607.91,604.95,607.66,42787561,13.16,13.61,12.89,13.45,4.35
2024-12-05,607.66,608.48,606.305,606.66,28762183,13.46,13.7,13.26,13.54,4.34
2024-12-06,607.44,609.07,607.02,607.81,31241549,13.62,13.74,12.7,12.77,4.31
2024-12-09,607.69,607.86,604.08,604.68,34742738,13.36,14.23,13.35,14.19,4.3
2024-12-10,605.37,605.8,602.13,602.8,37234515,14.3,14.54,13.86,14.18,4.29
2024-12-11,605.78,608.435,605.5,607.46,28677723,14.42,14.43,13.52,13.58,4.26
2024-12-12,606.58,607.16,604.33,604.33,31543812,13.73,13.95,13.39,13.92,4.23
2024-12-13,606.4,607.13,602.81,604.21,35904730,13.57,14.25,13.24,13.81,4.23
2024-12-16,606.0,607.7795,605.21,606.79,43695179,14.37,14.69,13.99,14.69,4.25
2024-12-17,604.19,605.17,602.885,604.29,55773545,14.98,15.94,14.78,15.87,4.26
2024-12-18,603.98,606.405,585.89,586.28,108248729,15.57,28.32,14.82,27.62,4.25
2024-12-19,591.36,593.0,585.85,586.1,85919452,21.61,24.12,20.16,24.09,4.23
2024-12-20,581.77,595.75,580.91,591.15,125716674,24.14,26.51,17.82,18.36,4.23
2024-12-23,590.89,595.3,587.661,594.69,57635828,18.09,20.02,16.74,16.78,4.24
2024-12-24,596.06,601.34,595.47,601.3,33160097,16.97,17.04,14.27,14.27,4.28
2024-12-26,599.5,602.48,598.0825,601.34,41338891,14.99,15.93,14.55,14.73,4.24
2024-12-27,597.54,597.7761,590.7647,595.01,64969310,15.38,18.45,15.29,15.95,4.19
2024-12-30,587.89,591.74,584.41,588.22,56578757,17.21,19.22,16.44,17.4,4.23
2024-12-31,589.905,590.6399,584.42,586.08,57052654,17.39,17.81,16.68,17.35,4.23
2025-01-02,589.39,591.13,580.5,584.64,50203975,17.21,19.5,16.96,17.93,4.22
2025-01-03,587.53,592.6,586.43,591.95,37888459,17.66,17.94,16.11,16.13,4.2
2025-01-06,596.27,599.7,593.6,595.36,47679442,16.77,16.87,15.71,16.04,4.21
2025-01-07,597.42,597.75,586.78,588.63,60393052,16.48,18.9,15.79,17.82,4.21
2025-01-08,588.7,590.5799,585.195,589.49,47304672,17.91,19.5,17.37,17.7,4.21
2025-01-10,585.88,585.95,578.55,580.49,73105046,18.29,20.31,18.05,19.54,4.22
2025-01-13,575.77,581.75,575.35,581.39,47910060,21.18,22.04,19.15,19.19,4.23
2025-01-14,584.36,585.0,578.35,582.19,48420580,18.79,19.66,18.24,18.71,4.22
2025-01-15,590.325,593.94,589.195,592.78,56900159,19.08,19.14,15.96,16.12,4.21
2025-01-16,594.175,594.35,590.93,591.64,43319662,15.87,16.6,15.64,16.6,4.21
2025-01-17,596.96,599.36,595.61,597.58,58070628,16.19,16.23,15.53,15.97,4.2
2025-01-21,600.67,603.06,598.67,603.05,42532853,16.29,16.29,14.93,15.06,4.22
2025-01-22,605.92,607.82,605.36,606.44,48195973,14.89,15.29,14.59,15.1,4.22
2025-01-23,605.8,609.75,605.52,609.75,41152102,15.28,15.39,14.59,15.02,4.22
2025-01-24,609.81,610.78,606.8,607.97,34604693,15.02,15.16,14.58,14.85,4.21
2025-01-27,594.81,599.69,594.64,599.37,70361125,18.83,22.51,17.57,17.9,4.2
2025-01-28,600.62,605.37,597.25,604.52,44433322,18.29,18.39,16.25,16.41,4.2
2025-01-29,603.72,604.13,599.22,601.81,37177429,16.42,18.08,16.17,16.56,4.2
2025-01-30,603.96,606.6,600.715,605.04,39281255,15.93,16.42,15.32,15.84,4.19
2025-01-31,607.5,609.96,601.05,601.82,66671471,15.45,17.09,14.9,16.43,4.2
2025-02-03,592.67,600.29,590.49,597.77,65857248,20.36,20.42,17.66,18.62,4.22
2025-02-04,597.83,602.3,597.28,601.78,33457815,18.78,19.11,16.78,17.21,4.22
2025-02-05,600.64,604.37,598.58,604.22,30653149,17.54,17.75,15.77,15.77,4.22
2025-02-06,605.99,606.4525,602.63,606.32,35771503,15.88,16.15,14.99,15.5,4.22
2025-02-07,606.89,608.13,600.05,600.77,50788516,15.38,16.66,14.79,16.54,4.24
2025-02-10,604.03,605.4999,602.74,604.85,26048714,16.58,16.61,15.7,15.81,4.23
2025-02-11,602.55,605.86,602.43,605.31,30056740,16.13,16.42,15.75,16.02,4.23
2025-02-12,599.2,604.55,598.51,603.36,45076076,15.91,17.18,15.64,15.89,4.23
2025-02-13,604.48,609.94,603.2,609.73,40921297,15.97,16.33,14.98,15.1,4.22
2025-02-14,609.94,610.99,609.07,609.7,26910448,15.08,15.42,14.74,14.77,4.22
2025-02-18,610.88,611.49,608.38,611.49,26749030,15.57,16.03,15.35,15.35,4.23
2025-02-19,610.08,613.23,609.56,612.93,31011072,15.14,15.96,15.05,15.27,4.22
2025-02-20,611.54,611.684,607.02,610.38,36554002,15.61,16.63,15.12,15.66,4.21
2025-02-21,610.16,610.3,599.47,599.94,76519818,15.63,19.03,15.28,18.21,4.21
2025-02-24,602.02,603.03,596.49,597.21,50737213,18.08,20.24,17.31,18.98,4.19
2025-02-25,597.15,597.89,589.56,594.24,58266472,19.09,21.48,18.85,19.43,4.19
2025-02-26,595.93,599.58,591.8556,594.54,43321578,18.96,20.06,17.83,19.1,4.2
2025-02-27,596.85,598.02,584.65,585.05,74196664,18.25,21.47,17.67,21.13,4.2
2025-02-28,585.56,594.72,582.44,594.18,88744106,21.21,22.4,19.05,19.63,4.2
2025-03-03,596.18,597.34,579.9,583.77,74249199,19.83,24.31,19.25,22.78,4.21
2025-03-04,579.71,585.39,572.25,576.86,109648212,22.96,26.35,21.71,23.51,4.2
2025-03-05,576.69,584.88,573.0795,583.06,71230528,23.03,24.84,21.37,21.93,4.21
2025-03-06,575.48,580.1736,570.12,572.71,80094868,22.6,25.92,22.39,24.87,4.2
2025-03-07,570.9,577.39,565.63,575.92,81158816,24.85,26.56,23.09,23.37,4.2
2025-03-10,567.59,569.54,555.59,560.58,97084529,24.7,29.56,24.68,27.86,4.19
2025-03-11,559.4,564.02,552.02,555.92,88102109,27.94,29.57,26.18,26.92,4.2
2025-03-12,562.17,563.11,553.69,558.87,69588167,26.88,26.91,23.89,24.23,4.21
2025-03-13,558.49,559.105,549.68,551.42,74079414,24.92,26.13,23.46,24.66,4.2
2025-03-14,556.11,563.83,551.4917,562.81,62660321,24.35,24.36,21.48,21.77,4.2
2025-03-17,562.79,569.71,562.35,567.15,49008709,22.89,22.95,20.32,20.51,4.2
2025-03-18,564.8,565.02,559.06,561.02,66041422,20.83,22.57,20.41,21.7,4.2
2025-03-19,562.83,570.95,561.63,567.13,66555985,21.84,22.1,19.42,19.9,4.2
2025-03-20,563.33,570.57,562.6012,565.49,62958195,19.52,21.17,19.3,19.8,4.19
2025-03-21,559.28,564.89,558.03,563.98,83762964,20.02,21.14,19.15,19.28,4.19
2025-03-24,570.8,575.15,570.2,574.08,58766795,19.13,19.14,17.46,17.48,4.19
2025-03-25,575.3,576.41,573.69,575.46,38355735,17.58,17.77,17.02,17.15,4.19
2025-03-26,575.19,576.33,567.19,568.59,52228898,17.23,19.07,16.97,18.33,4.2
2025-03-27,567.18,570.9,564.94,567.08,42164248,18.36,19.28,17.95,18.69,4.2
2025-03-28,565.53,566.2675,555.07,555.66,71662653,19.08,22.18,18.92,21.65,4.2
2025-03-31,549.83,560.7112,546.87,559.39,95328213,24.11,24.8,21.67,22.28,4.21
2025-04-01,557.45,562.94,553.68,560.97,54609641,22.06,23.52,21.58,21.77,4.2
2025-04-02,555.05,567.42,554.81,564.52,76014544,22.3,23.66,20.68,21.51,4.21
2025-04-03,545.11,547.97,536.7,536.7,125985998,26.38,30.02,24.93,30.02,4.2
2025-04-04,523.67,525.87,505.06,505.28,217965131,30.12,45.61,29.99,45.31,4.17
2025-04-07,489.19,523.17,481.8,504.38,256611355,60.13,60.13,38.58,46.98,4.17
2025-04-08,521.86,524.98,489.16,496.48,165816581,44.04,57.52,36.48,52.33,4.19
2025-04-09,493.44,548.62,493.05,548.62,241867317,50.98,57.96,31.9,33.62,4.24
2025-04-10,532.17,533.495,509.32,524.58,162331225,34.44,54.87,34.44,40.72,4.22
2025-04-11,523.01,536.43,520.07,533.94,97866334,40.8,46.12,36.85,37.56,4.23
2025-04-14,544.05,544.28,533.86,539.12,68033993,34.76,35.17,29.75,30.89,4.22
2025-04-15,539.675,543.23,536.81,537.61,56892874,30.01,31.45,28.29,30.12,4.22
2025-04-16,531.68,537.8854,520.29,525.66,83484814,33.24,34.96,29.48,32.64,4.21
2025-04-17,527.64,531.165,523.91,526.41,79868083,30.79,32.55,29.57,29.65,4.23
2025-04-21,521.16,521.7,508.46,513.88,69368129,32.75,35.75,31.79,33.82,4.22
2025-04-22,520.14,529.305,519.1925,527.25,75948117,32.61,32.68,30.08,30.57,4.22
2025-04-23,540.43,545.43,533.88,535.42,90590658,28.75,30.29,27.11,28.45,4.22
2025-04-24,536.715,547.43,535.4504,546.69,64150418,28.69,29.66,26.36,26.47,4.21
2025-04-25,546.65,551.05,543.69,550.64,61119590,26.22,27.2,24.84,24.84,4.21
2025-04-28,551.39,553.55,545.02,550.85,47613755,25.75,26.93,24.7,25.15,4.2
2025-04-29,548.91,555.45,548.55,554.32,47775121,24.76,25.99,23.76,24.17,4.2
2025-04-30,547.57,556.52,541.52,554.54,93101463,24.35,28.17,24.23,24.7,4.2
2025-05-01,560.37,564.0699,557.86,558.47,63186146,23.94,25.18,23.3,24.6,4.2
2025-05-02,564.73,568.38,562.38,566.76,60717270,23.63,24.32,22.34,22.68,4.22
